Country,Year,Population,Crude birth rate,Crude death rate,Crude rate of net migration plus statistical adjustment
Andorra,1986,44593,11.9,,
Andorra,1987,46976,11.0,,
Andorra,1988,48451,11.6,,
Andorra,1989,50528,12.5,,
Andorra,1990,50887,11.9,,
Andorra,1991,54507,11.9,,
Andorra,1992,59048,12.1,,
Andorra,1993,61599,11.4,,
Andorra,1994,65226,10.9,,
Andorra,1995,64311,11.0,,
Andorra,1996,63859,10.9,,
Andorra,1997,64479,11.2,,
Andorra,1998,65306,11.9,,
Andorra,1999,65877,12.6,,
Andorra,2000,65971,11.3,,
Andorra,2001,65844,11.8,,
Andorra,2002,66334,11.2,,
Andorra,2003,67159,10.3,,
Andorra,2004,72320,10.9,3.8,53.9
Andorra,2005,76875,10.7,3.6,14.4
Andorra,2006,78549,10.6,3.3,26.2
Andorra,2007,81222,10.1,2.8,16.1
Andorra,2008,83137,10.4,2.8,8.5
Andorra,2009,84484,9.9,3.2,-11.5
Andorra,2010,84082,9.8,2.8,4.1
Andorra,2011,78115,,,
Andorra,2012,78115,9.5,3.9,-29.8
Andorra,2013,76246,,,
Andorra,2019,76177,7.0,3.9,14.7
Albania,1960,1583800,43.3,10.4,-1.8
Albania,1961,1633800,41.2,9.3,-0.6
Albania,1962,1685800,39.3,10.7,1.3
Albania,1963,1736838,39.1,10.0,0.1
Albania,1964,1788404,37.8,8.7,-0.7
Albania,1965,1839866,35.2,9.0,0.5
Albania,1966,1889715,34.0,8.6,0.6
Albania,1967,1939430,35.2,8.4,-0.2
Albania,1968,1991765,35.5,8.0,2.6
Albania,1969,2052778,35.3,7.5,0.0
Albania,1970,2110612,32.5,9.3,0.0
Albania,1971,2160345,33.3,8.1,0.0
Albania,1972,2215361,32.8,8.1,0.0
Albania,1973,2270891,30.4,7.9,0.0
Albania,1974,2322613,30.6,7.2,0.0
Albania,1975,2377635,29.4,6.8,0.0
Albania,1976,2432027,28.7,7.1,0.0
Albania,1977,2485025,29.2,6.5,0.0
Albania,1978,2542066,27.5,6.3,-2.3
Albania,1979,2590466,27.5,6.7,0.0
Albania,1980,2645198,26.5,6.4,0.0
Albania,1981,2698795,26.5,6.6,0.1
Albania,1982,2753316,27.7,5.9,0.4
Albania,1983,2815239,25.9,6.1,0.4
Albania,1984,2872681,27.3,5.7,0.3
Albania,1985,2936177,26.2,5.8,-1.1
Albania,1986,2993347,25.3,5.7,-0.2
Albania,1987,3051923,25.8,5.6,0.3
Albania,1988,3115286,25.5,5.4,-2.9
Albania,1989,3169386,24.6,5.7,7.6
Albania,1990,3286500,25.1,5.6,-12.1
Albania,1991,3259814,23.8,5.5,-38.1
Albania,1992,3190103,23.4,5.6,-10.2
Albania,1993,3167478,21.1,5.6,-35.5
Albania,1994,3220310,22.6,5.8,-9.2
Albania,1995,3248836,22.8,5.7,-37.3
Albania,1996,3283000,21.7,5.6,-8.3
Albania,1997,3324317,19.7,5.8,-34.4
Albania,1998,3354341,19.3,5.9,-5.6
Albania,1999,3373445,18.8,5.4,-34.1
Albania,2000,3058497,16.7,5.4,-9.3
Albania,2001,3063318,17.4,5.2,-14.3
Albania,2002,3057018,13.9,5.3,-12.6
Albania,2003,3044993,14.9,5.9,-12.5
Albania,2004,3034231,13.5,5.9,-12.5
Albania,2005,3019634,12.9,5.7,-12.6
Albania,2006,3003329,12.0,5.6,-13.6
Albania,2007,2981755,11.6,4.9,-14.6
Albania,2008,2958266,11.3,5.4,-13.4
Albania,2009,2936355,11.7,7.0,-10.7
Albania,2010,2918674,11.7,6.9,-8.7
Albania,2011,2907361,11.8,6.9,-6.4
Albania,2012,2903008,12.2,7.2,-6.8
Albania,2013,2897770,12.3,7.1,-7.1
Albania,2014,2892394,12.4,7.1,-7.5
Albania,2015,2885796,11.4,7.8,-7.1
Albania,2016,2875592,11.0,7.4,-3.2
Albania,2017,2876591,10.7,7.7,-5.2
Albania,2018,2870324,10.1,7.6,-5.2
Albania,2019,2862427,10.0,7.7,-8.1
Albania,2020,2845955,9.9,9.7,-5.9
Albania,2021,2829741,9.7,10.9,-11.7
Albania,2022,2793592,8.9,8.6,-11.7
Albania,2023,2761785,,,
Armenia,2000,3226900,10.6,7.5,-6.8
Armenia,2001,3215300,10.0,7.5,-3.3
Armenia,2002,3212900,10.0,8.0,-2.9
Armenia,2003,3210300,11.1,8.1,-2.5
Armenia,2004,3212200,11.7,8.0,-2.6
Armenia,2005,3215800,11.7,8.2,-2.4
Armenia,2006,3219234,11.7,8.4,-2.1
Armenia,2007,3222953,12.4,8.3,-1.9
Armenia,2008,3230086,12.7,8.5,-1.8
Armenia,2009,3237976,13.7,8.5,-1.6
Armenia,2010,3249482,13.8,8.6,-1.1
Armenia,2011,3262650,13.3,8.6,-1.1
Armenia,2012,3274285,,,
Armenia,2015,3010598,13.9,9.3,-8.6
Armenia,2016,2998577,13.6,9.4,-8.3
Armenia,2017,2986151,12.7,9.1,-8.0
Armenia,2018,2972732,12.3,8.7,-6.2
Armenia,2019,2965269,12.2,8.8,-5.2
Armenia,2020,2959694,12.3,12.2,1.1
Armenia,2021,2963251,,,
Armenia,2023,2977130,12.3,8.1,0.6
Austria,1960,7030385,17.9,12.7,-0.3
Austria,1961,7064693,18.6,12.1,-0.4
Austria,1962,7107904,18.7,12.7,0.2
Austria,1963,7151824,18.8,12.8,0.7
Austria,1964,7199798,18.5,12.3,0.4
Austria,1965,7247804,17.9,13.0,1.4
Austria,1966,7293973,17.6,12.5,2.6
Austria,1967,7350159,17.3,12.9,2.9
Austria,1968,7403837,17.0,12.9,-0.9
Austria,1969,7426968,16.3,13.3,0.7
Austria,1970,7455142,15.0,13.2,1.4
Austria,1971,7479030,14.5,13.0,4.2
Austria,1972,7521933,13.8,12.6,4.7
Austria,1973,7566469,12.9,12.2,4.5
Austria,1974,7605760,12.8,12.4,-2.2
Austria,1975,7592316,12.4,12.7,-3.2
Austria,1976,7565489,11.6,12.6,1.0
Austria,1977,7565561,11.3,12.2,1.7
Austria,1978,7571299,11.3,12.5,-1.2
Austria,1979,7553310,11.4,12.2,-0.3
Austria,1980,7545539,12.0,12.2,1.2
Austria,1981,7553326,12.4,12.2,3.9
Austria,1982,7584094,12.5,12.1,-3.1
Austria,1983,7564185,11.9,12.3,-0.2
Austria,1984,7559635,11.8,11.7,0.4
Austria,1985,7563233,11.6,11.8,0.7
Austria,1986,7566736,11.5,11.5,0.8
Austria,1987,7572852,11.4,11.2,0.2
Austria,1988,7576319,11.6,11.0,1.7
Austria,1989,7594315,11.6,10.9,5.9
Austria,1990,7644818,11.8,10.8,7.6
Austria,1991,7710882,12.2,10.8,9.9
Austria,1992,7798899,12.2,10.6,9.1
Austria,1993,7882519,12.0,10.4,4.2
Austria,1994,7928746,11.6,10.2,0.4
Austria,1995,7943489,11.2,10.2,0.3
Austria,1996,7953067,11.2,10.2,0.5
