DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2004,53.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2005,14.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2006,26.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2007,16.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2008,8.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2009,-11.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2010,4.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2012,-29.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2016,14.5,e
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2018,15.6,e
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2019,14.7,e
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2022,23.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Andorra,2023,40.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1960,-1.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1961,-0.6,
