DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1986,44593,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1987,46976,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1988,48451,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1989,50528,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1990,50887,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1991,54507,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1992,59048,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1993,61599,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1994,65226,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1995,64311,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1996,63859,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1997,64479,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1998,65306,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,1999,65877,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2000,65971,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2001,65844,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2002,66334,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2003,67159,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2004,72320,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2005,76875,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2006,78549,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2007,81222,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2008,83137,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2009,84484,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2010,84082,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2011,78115,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2012,78115,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2013,76246,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Andorra,2019,76177,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1960,1583800,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1961,1633800,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1962,1685800,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1963,1736838,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1964,1788404,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1965,1839866,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1966,1889715,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1967,1939430,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1968,1991765,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1969,2052778,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1970,2110612,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1971,2160345,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1972,2215361,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1973,2270891,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1974,2322613,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1975,2377635,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1976,2432027,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1977,2485025,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1978,2542066,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1979,2590466,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1980,2645198,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1981,2698795,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1982,2753316,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1983,2815239,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1984,2872681,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1985,2936177,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1986,2993347,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1987,3051923,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1988,3115286,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1989,3169386,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Albania,1990,3286500,
